Date,Price
2024-01-01,3.014901424590337
2024-01-02,3.005852070964864
2024-01-03,3.0394306561430207
2024-01-04,3.0756908956922406
2024-01-05,3.0329753987583
2024-01-06,3.0429758912915243
2024-01-07,3.107376384465222
2024-01-08,3.093023041874587
2024-01-09,3.0659157684219513
2024-01-10,3.1062768013075788
2024-01-11,3.086097469215626
2024-01-12,3.0960281073928924
2024-01-13,3.1272588681469813
2024-01-14,3.072601592660266
2024-01-15,3.0882524650246093
2024-01-16,3.1331313741227707
2024-01-17,3.1296150663899676
2024-01-18,3.1794274199778583
2024-01-19,3.152759277734364
2024-01-20,3.147630888959941
2024-01-21,3.2439694630676468
2024-01-22,3.203226710985404
2024-01-23,3.222025846140638
2024-01-24,3.187257554413596
2024-01-25,3.223668518264245
2024-01-26,3.253327677691296
2024-01-27,3.2254701926773306
2024-01-28,3.28127094055037
2024-01-29,3.2619808393024363
2024-01-30,3.2812491875062015
2024-01-31,3.281948801633118
2024-02-01,3.365568345535268
2024-02-02,3.319595083257862
2024-02-03,3.2982686721313232
2024-02-04,3.3646763473630954
2024-02-05,3.3133746905008694
2024-02-06,3.3662659078501425
2024-02-07,3.3112098962836067
2024-02-08,3.340154418533047
2024-02-09,3.3959058370760737
